City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,22.16,86,67,2.01,BR,1670272948
1,laurel,39.0993,-76.8483,10.42,48,0,5.14,US,1670272948
2,faanui,-16.4833,-151.75,26.45,77,68,7.45,PF,1670272949
3,batamshinskiy,50.5594,58.2747,-15.39,97,99,4.59,KZ,1670272949
4,hermanus,-34.4187,19.2345,13.78,66,98,1.43,ZA,1670272772
5,chuy,-33.6971,-53.4616,22.72,66,0,4.36,UY,1670272949
6,hilo,19.7297,-155.09,27.93,73,20,3.58,US,1670272677
7,ramjibanpur,22.8333,87.6167,16.15,48,0,3.39,IN,1670272950
8,punta arenas,-53.15,-70.9167,10.06,43,75,9.26,CL,1670272813
9,bilibino,68.0546,166.4372,-22.41,70,100,2.71,RU,1670272924
10,kapaa,22.0752,-159.319,25.99,80,100,6.69,US,1670272951
11,katsuura,35.1333,140.3,9.59,91,100,8.61,JP,1670272951
12,karratha,-20.7377,116.8463,26.87,44,2,5.52,AU,1670272693
13,saskylakh,71.9167,114.0833,-24.58,92,100,8.19,RU,1670272951
14,norman wells,65.282,-126.8329,-29.98,76,75,6.17,CA,1670272952
15,loubomo,-4.1997,12.6739,22.76,94,99,1.26,CG,1670272952
16,ushuaia,-54.8,-68.3,9.79,49,40,10.29,AR,1670272663
17,iqaluit,63.7506,-68.5145,-11.15,73,75,2.06,CA,1670272952
18,vestmannaeyjar,63.4427,-20.2734,4.81,68,38,1.88,IS,1670272953
19,dikson,73.5069,80.5464,-4.72,96,100,5.93,RU,1670272952
20,acatenango,14.5519,-90.9422,22.38,58,41,0.52,GT,1670272953
21,khatanga,71.9667,102.5,-33.19,100,15,2.14,RU,1670272954
22,port alfred,-33.5906,26.891,15.1,94,0,0.89,ZA,1670272954
23,jinchang,38.4953,102.1739,-4.62,55,100,1.38,CN,1670272955
24,guerrero negro,27.9769,-114.0611,20.09,65,8,7.51,MX,1670272955
25,sampang,-7.1872,113.2394,26.33,79,100,0.43,ID,1670272955
26,tasiilaq,65.6145,-37.6368,-2.91,63,33,3.12,GL,1670272885
27,sedalia,38.7045,-93.2283,13.29,58,75,4.63,US,1670272736
28,arlit,18.7369,7.3853,26.42,15,95,3.02,NE,1670272956
29,busselton,-33.65,115.3333,13.3,74,0,5.33,AU,1670272535
30,suez,29.9737,32.5263,16.21,71,0,3.95,EG,1670272956
31,teguise,29.0605,-13.564,18.12,77,20,1.54,ES,1670272956
32,arraial do cabo,-22.9661,-42.0278,24.98,73,40,8.75,BR,1670272957
33,kupang,-10.1667,123.5833,24.74,84,100,0.81,ID,1670272957
34,huilong,31.8111,121.655,6.19,71,5,3.43,CN,1670272958
35,geraldton,-28.7667,114.6,20.23,83,100,6.17,AU,1670272958
36,upernavik,72.7868,-56.1549,-3.39,86,30,4.79,GL,1670272958
37,belyy yar,53.6039,91.3903,-28.06,83,75,0.0,RU,1670272959
38,fortuna,40.5982,-124.1573,12.21,86,100,3.09,US,1670272662
39,shache,38.4167,77.2406,-5.95,41,0,0.29,CN,1670272959
40,auki,-8.7676,160.7034,27.11,77,98,1.53,SB,1670272959
41,cape town,-33.9258,18.4232,18.23,65,0,6.69,ZA,1670272941
42,altus,34.6381,-99.334,27.73,27,0,8.75,US,1670272960
43,kawalu,-7.3817,108.2082,21.95,96,100,0.1,ID,1670272960
44,huazhou,21.6333,110.5833,10.53,76,13,2.44,CN,1670272961
45,rikitea,-23.1203,-134.9692,24.19,81,98,6.24,PF,1670272961
46,paamiut,61.994,-49.6678,3.13,76,100,15.95,GL,1670272961
47,ponta do sol,32.6667,-17.1,19.28,75,99,1.31,PT,1670272962
48,mataura,-46.1927,168.8643,10.27,99,100,0.95,NZ,1670272787
49,kasongo-lunda,-6.4667,16.8167,20.68,94,92,0.57,CD,1670272962
50,yar-sale,66.8333,70.8333,-17.61,98,15,2.52,RU,1670272958
51,nanortalik,60.1432,-45.2371,0.99,76,95,7.17,GL,1670272830
52,puri,19.8,85.85,18.29,51,0,3.41,IN,1670272963
53,bredasdorp,-34.5322,20.0403,15.33,66,100,0.6,ZA,1670272960
54,nome,64.5011,-165.4064,-1.96,86,75,5.66,US,1670272963
55,acarau,-2.8856,-40.12,26.68,77,8,9.0,BR,1670272964
56,matagami,49.7502,-77.6328,-8.94,79,40,3.09,CA,1670272964
57,kodiak,57.79,-152.4072,3.73,93,100,4.63,US,1670272964
58,bethel,41.3712,-73.414,7.74,46,100,0.45,US,1670272940
59,vaini,-21.2,-175.2,27.09,83,75,4.12,TO,1670272965
60,santiago,-33.4569,-70.6483,32.38,27,0,8.75,CL,1670272845
61,talnakh,69.4865,88.3972,-3.77,96,100,6.01,RU,1670272965
62,carnarvon,-24.8667,113.6333,20.64,75,67,7.15,AU,1670272965
63,mackay,-21.15,149.2,22.05,76,0,3.04,AU,1670272966
64,catia la mar,10.6038,-67.0303,31.11,70,20,3.09,VE,1670272966
65,borogontsy,62.6683,131.1683,-32.58,100,100,0.73,RU,1670272966
66,ust-tsilma,65.441,52.1498,-15.26,89,53,3.0,RU,1670272967
67,kuytun,54.3419,101.5036,-10.31,63,100,7.77,RU,1670272967
68,saint george,37.1041,-113.5841,14.68,57,40,1.54,US,1670272967
69,tilichiki,60.4667,166.1,-16.03,88,85,3.1,RU,1670272968
70,sioux lookout,50.1001,-91.917,-16.96,66,75,4.63,CA,1670272968
71,moerai,-22.4333,-151.3333,25.12,79,99,4.94,PF,1670272968
72,tuktoyaktuk,69.4541,-133.0374,-26.0,64,40,11.83,CA,1670272956
73,ninh binh,20.2539,105.975,15.37,74,99,1.89,VN,1670272969
